月,日,時,外気温[℃],外気絶対湿度 [kg/kgDA],法線面直達日射量 [W/m2],水平面天空日射量 [W/m2],水平面夜間放射量 [W/m2],太陽高度角[度],太陽方位角[度]
1,8,13,11.5,4.9,819.4444444,91.66666667,100,31.9,13.4
1,8,14,12,4.9,783.3333333,86.11111111,102.7777778,27.5,28.5
1,8,15,12.2,4.9,419.4444444,113.8888889,86.11111111,20.4,41.6
1,8,16,11.9,5.3,455.5555556,58.33333333,94.44444444,11.3,52.6
1,8,17,11.2,5.3,41.66666667,11.11111111,88.88888889,1,61.8
1,8,18,9.7,5.2,0,0,88.88888889,0,0
1,8,19,8.7,5.1,0,0,83.33333333,0,0
1,8,20,8.1,5.1,0,0,80.55555556,0,0
1,8,21,7.5,4.9,0,0,77.77777778,0,0
1,8,22,6.7,4.9,0,0,72.22222222,0,0
1,8,23,6,4.8,0,0,72.22222222,0,0
1,8,24,5.2,4.8,0,0,69.44444444,0,0
1,9,1,4.8,4.6,0,0,66.66666667,0,0
1,9,2,4.5,4.6,0,0,61.11111111,0,0
1,9,3,4.9,4.6,0,0,61.11111111,0,0
1,9,4,4.7,4.6,0,0,58.33333333,0,0
1,9,5,4.2,4.5,0,0,55.55555556,0,0
1,9,6,4.1,4.5,0,0,52.77777778,0,0
1,9,7,4.2,4.5,0,2.777777778,50,0,0
1,9,8,4.7,4.6,86.11111111,38.88888889,47.22222222,7.7,-56.2
1,9,9,5.4,4.8,94.44444444,97.22222222,50,17.3,-46
1,9,10,7.3,5,433.3333333,144.4444444,77.77777778,25.2,-33.7
1,9,11,9.5,5.3,638.8888889,133.3333333,86.11111111,30.7,-19.3
1,9,12,11.5,5.7,766.6666667,111.1111111,91.66666667,33.2,-3.1
1,9,13,13.7,6,366.6666667,200,75,32.1,13.3
1,9,14,15.1,5.6,727.7777778,97.22222222,97.22222222,27.7,28.5
1,9,15,15.1,4.9,563.8888889,97.22222222,97.22222222,20.6,41.6
1,9,16,14.5,4.9,275,66.66666667,80.55555556,11.5,52.6
1,9,17,14.1,4.9,63.88888889,13.88888889,80.55555556,1.1,61.9
1,9,18,13.6,4.7,0,0,83.33333333,0,0
1,9,19,12.4,4.7,0,0,83.33333333,0,0
1,9,20,11.8,4.3,0,0,86.11111111,0,0
1,9,21,11.2,4.2,0,0,83.33333333,0,0
1,9,22,10.9,4.2,0,0,86.11111111,0,0
1,9,23,10.9,3.4,0,0,91.66666667,0,0
1,9,24,9.6,3.3,0,0,88.88888889,0,0
1,10,1,8.4,2.6,0,0,91.66666667,0,0
1,10,2,7.1,2.5,0,0,94.44444444,0,0
1,10,3,6.3,2.2,0,0,94.44444444,0,0
1,10,4,5.6,2.1,0,0,94.44444444,0,0
1,10,5,5.1,2.2,0,0,94.44444444,0,0
1,10,6,4.9,2.3,0,0,94.44444444,0,0
1,10,7,4,2.7,0,2.777777778,91.66666667,0,0
1,10,8,3.9,2.7,408.3333333,38.88888889,91.66666667,7.7,-56.4
1,10,9,4.9,2.5,658.3333333,66.66666667,105.5555556,17.3,-46.1
1,10,10,6.4,2.5,777.7777778,77.77777778,108.3333333,25.3,-33.9
1,10,11,6.9,2.2,827.7777778,86.11111111,111.1111111,30.9,-19.4
1,10,12,8,2,730.5555556,122.2222222,111.1111111,33.3,-3.3
1,10,13,7.8,2,725,119.4444444,108.3333333,32.2,13.2
1,10,14,7.5,2.1,611.1111111,125,102.7777778,27.8,28.5
1,10,15,7.1,2.1,513.8888889,105.5555556,102.7777778,20.7,41.6
1,10,16,6.6,2.2,366.6666667,63.88888889,100,11.7,52.6
1,10,17,5.9,2.2,130.5555556,16.66666667,100,1.3,62
1,10,18,5.2,1.9,0,0,102.7777778,0,0
1,10,19,4.7,1.9,0,0,100,0,0
1,10,20,4.3,2,0,0,97.22222222,0,0
1,10,21,3.6,2.1,0,0,97.22222222,0,0
1,10,22,3,2.3,0,0,94.44444444,0,0
1,10,23,2.8,2.3,0,0,94.44444444,0,0
1,10,24,2.2,2.3,0,0,91.66666667,0,0
1,11,1,1.3,2.3,0,0,91.66666667,0,0
1,11,2,1.2,2.3,0,0,94.44444444,0,0
1,11,3,1.1,2.4,0,0,88.88888889,0,0
1,11,4,0.7,2.4,0,0,91.66666667,0,0
1,11,5,0.2,2.5,0,0,88.88888889,0,0
